Serial	user_id	user_screen_name	user_name	user_expanded_url	Facebook Page (https://www.facebook.com/)	RSS Feed link	Automatic RSS	Wikipedia page (https://ar.wikipedia.org/wiki/)	Alexa page (https://www.alexa.com/siteinfo/)	user_display_url	user_verified	newssource	newssource:confidence	user_created_at	user_description	user_followers_count	user_favourites_count	user_friends_count	user_twitter_friends_count	user_geo_enabled	user_lang	user_listed_count	user_location	country_code	country	Category	user_profile_image_url	user_statuses_count	user_time_zone	user_url	YouTube (http://www.youtube.com/)
10	311932430	mbc1	MBC1	http://www.mbc.net/mbc1	mbc1tv	-		إم_بي_سي_1	mbc.net	mbc.net/mbc1	1	1	1	Mon Jun 06 09:29:09 +0000 2011	MBC 1 was launched in 1991 as the first independent Pan Arab channel, it is the first free-to-air private satellite channel	7668961	0	3436	0	0	en	3436		SA	Saudi Arabia	Entertainment	http://www.elmogaz.com/sites/default/files/2018/04/21/news/fields/image/MBC-logo-large.jpg	100094	Muscat	https://t.co/d28qZ41VLt	channel/UCPvObfhnwu_QNi6mc4z5UPQ
11	301120393	youm7	اليوم السابع	http://www.youm7.com	Youm7	https://www.youm7.com/rss/rss	http:/www.youm7.com/rss/rss	اليوم_السابع	youm7.com	youm7.com	1	1	1	Wed May 18 22:35:56 +0000 2011	الحساب الرسمى لجريدة اليوم السابع علي تويتر..الموقع الاخباري الاول في مصر والشرق الاوسط<LF>to be updated with latest news from <LF>egypt & middle east follow<LF> @youm7	7265923	447	6503	10	1	en-gb	6503	Egypt	EG	Egypt	General	http://pbs.twimg.com/profile_images/961942149116940290/wrcNXUQF_normal.jpg	613021	Cairo	http://t.co/TQIsrx0POH	user/mubasheryoum7
12	256930894	AjelNews24	خبر عاجل	http://www.ajelnews24.com	-	http://www.ajelnews24.com/?feed=rss2	http://www.ajelnews24.com/?feed=rss2	-	ajelnews24.com	ajelnews24.com	0	1	1	Thu Feb 24 10:55:29 +0000 2011	الحساب الرسمي لـ خبر عاجل .. انستغرام: https://t.co/ilQwOBNrN5 سناب شات: https://t.co/sfN3pEbhls للتواصل: info@ajelnews24.com	6921217	317	7548	3	0	ar	7548	واتساب: 00966555608841	SA	Saudi Arabia	General	http://pbs.twimg.com/profile_images/3236063800/6600f44fc0ec61737f813b685b08a13d_normal.jpeg	171538	Quito	https://t.co/KUmE3zyHfS	channel/UCTvwuqZFHVpMgWDR6cnPgAQ
13	245956466	AlHadath	قناة الحدث	http://www.alhadath.net/	AlHadath	http://www.alhadath.net/.mrss/alhadath.xml	http://www.alhadath.net/.mrss/alhadath.xml	قناة_الحدث	alhadath.net	alhadath.net	1	1	1	Tue Feb 01 20:40:40 +0000 2011	#الحدث الإخبارية.. قناة تفاعلية تركز على الأحداث السياسية في المنطقة العربية	6311631	2	6010	36	0	en	6010	Dubai	IQ	Iraq	General	http://pbs.twimg.com/profile_images/818821066617393152/jCjo7DqP_normal.jpg	95646	Abu Dhabi	https://t.co/0Di3sif5So	channel/UCrj5BGAhtWxDfqbza9T9hqA
14	52032722	BBCArabic	BBC Arabic بي بي سي	http://bbcarabic.com	bbcarabic	http://feeds.bbci.co.uk/arabic/rss.xml		تلفزيون_بي_بي_سي_عربي	bbcarabic.com	bbcarabic.com	1	1	1	Mon Jun 29 11:47:36 +0000 2009	BBC Arabic official account | الحساب الرسمي لبي بي سي العربية - تابعو أيضا حساب #الأخبار #العاجلة @BBCArabicAlerts وحسابنا عبر تيليجرام https://t.co/lRk29zMvoi	5687636	72	5837	207	1	en-gb	5837	London, GB	UK	United Kingdom	General	http://pbs.twimg.com/profile_images/562375849388032000/Cuxjmsx5_normal.png	99006	London	http://t.co/TvMNRt13Gx	user/BBCArabicNews
15	311940255	mbc2	mbc2	http://www.mbc.net/mbc2	-	-		إم_بي_سي_2	mbc.net	mbc.net/mbc2	1	1	1	Mon Jun 06 09:51:24 +0000 2011	MBC2 is the first 24-hour free-to-air movie channel in the Arab World. The Channel offers a wide variety of top international and Hollywood movies	5604406	0	2006	0	1	en	2006		SA	Saudi Arabia	Entertainment	http://pbs.twimg.com/profile_images/2325153399/glxj6ox08i7xhuwfop44_normal.jpeg	57833	Muscat	http://t.co/OrtNFasZvJ	channel/UCC22GST1xmjAYNs8D_n6Vyw
16	15819208	AlRiyadh	جريدة الرياض	http://www.alriyadh.com	-	http://www.alriyadh.com/page/rss	http:/www.alriyadh.com/page/rss	الرياض_(جريدة_سعودية)	alriyadh.com	alriyadh.com	1	1	1	Tue Aug 12 05:41:02 +0000 2008	جريدة سعودية يومية تصدر عن مؤسسة اليمامة الصحفية #جريدة_الرياض على سناب شات https://t.co/RYrMIsrpyR	4740505	35	3301	11	0	ar	3301	Riyadh,Saudi Arabia	SA	Saudi Arabia	General	http://pbs.twimg.com/profile_images/945380646465298434/ZGyTNrBR_normal.jpg	151109	Riyadh	https://t.co/7XCnaXva8S	user/alriyadhtv
17	97232128	AlAhram	الأهرام AlAhram	http://gate.ahram.org.eg	alahramgate	-		الأهرام_(جريدة)	ahram.org.eg	gate.ahram.org.eg	1	1	1	Wed Dec 16 15:38:20 +0000 2009	Al Ahram is an Egyptian publishing & Media house; it is the publisher of the daily Al-Ahram, in publication since 1875<LF>مؤسسة الأهرام للصحافة والنشر	4502722	433	6869	15	0	en	6869	Cairo, Egypt	EG	Egypt	General	http://pbs.twimg.com/profile_images/862573570769268736/rxlasDVa_normal.jpg	666523	Cairo	http://t.co/QZmpv3py0s	https://www.youtube.com/channel/UCIqfXUG5dbM8iGINnqsdriQ
	311947216	mbcaction	MBC Action	http://Actionha.net/TV	mbcaction	-		إم_بي_سي_أكشن	actionha.net	Actionha.net/TV	1	1	1	Mon Jun 06 10:11:18 +0000 2011	MBC Action is MBC Group’s action-packed channel that targets young Arabic males. It delivers the best in high-octane Western series, movies and action	4446267	2	1399	0	0	en	1399		SA	Saudi Arabia	Entertainment	http://pbs.twimg.com/profile_images/692289004801245184/GEXCfGii_normal.jpg	36321	Muscat	https://t.co/fCTTsmctQQ	channel/UCNYIXeDQovRVy0TlmSta2Ow
18	245953285	AlArabiya_spt	العربية رياضة	http://www.alarabiya.net/sports.html	-	-		قناة_العربية	alarabiya.net	alarabiya.net/sports.html	1	1	1	Tue Feb 01 20:32:18 +0000 2011	حساب قناة #العربية لتغطية أخبار #الرياضة	4351768	0	3659	36	1	en	3659	Dubai	AE	United Arab Emirates	Sports	http://pbs.twimg.com/profile_images/867081770499485697/sAUFd4Al_normal.jpg	25376	Abu Dhabi	http://t.co/UZKRKVtyj7	user/AlArabiya
19	383112039	spagov	واس	http://www.spa.gov.sa	spagov	http://www.spa.gov.sa/rss.php		وكالة_الأنباء_السعودية	spa.gov.sa	spa.gov.sa	1	1	1	Sat Oct 01 08:51:42 +0000 2011	#وكالة_الأنباء_السعودية #واس Saudi Press Agency	4218637	0	5326	4	1	ar	5326	الرياض	SA	Saudi Arabia	General	http://pbs.twimg.com/profile_images/692730077126221824/6kDm118o_normal.jpg	170053	Riyadh	https://t.co/oH7h5vkTsr	https://www.youtube.com/channel/UClXSeR8UCA7c_Ys6lFqxX7Q?app=desktop
20	596025144	TheArabHash	هاشتاق العرب	http://PMads.net	-	-		-	pmads.net	PMads.net	0	1	0.6727	Fri Jun 01 00:01:35 +0000 2012	أكبر حساب عربي متخصص بنشر أهم الأخبار- الصور - الفيديوهات  | الوكيل الحصري @PMadsNet التسويق الهادف	4110863	1169	3315	2225032	0	en	3315	واتس اب: 00966536958015	SA	Saudi Arabia	General	http://pbs.twimg.com/profile_images/378800000408420914/6224b7650f6ab8a6da73fe510388288a_normal.png	55594	Riyadh	http://t.co/C4AbJglFNq	
21	116393932	Cityarabia	نادي مانشستر سيتي	http://ar.mancity.com	mancity	-		مانشستر_سيتي	mancity.com	ar.mancity.com	1	1	0.663	Mon Feb 22 08:41:29 +0000 2010	الحساب الرسمي لنادي مانشستر سيتي وكل ما يخص النادي من أخبار ومعلومات بالاضافة للصور والڤيديو والنقل المباشر للمباريات .	3908741	3421	1606	71	1	en	1606	استاد الاتحاد	SA	Saudi Arabia	Sports	http://pbs.twimg.com/profile_images/748638064747110400/awK8xY-z_normal.jpg	57261	Cairo	https://t.co/0VWEmehnrM	https://www.youtube.com/user/mcfcofficial
22	216289357	skynewsarabia	سكاي نيوز عربية	http://skynewsarabia.com	SkyNewsArabia	https://www.skynewsarabia.com/rss.xml	http:/skynewsarabia.com/web/rss.xml	سكاي_نيوز_عربية	skynewsarabia.com	skynewsarabia.com	1	1	1	Tue Nov 16 08:40:50 +0000 2010	تتخذ قناة “سكاي نيوز عربية” من أبوظبي مقراً لها وتقدم الأخبار باللغة العربية عبر البث التلفزيوني المجاني والإنترنت والأجهزة المحمولة بما فيها الآي فون والآيباد	3894661	62	4629	93	1	en	4629	Abu Dhabi, UAE	AE	United Arab Emirates	General	http://pbs.twimg.com/profile_images/904702296784863232/cJklnl4__normal.jpg	183557	Abu Dhabi	http://t.co/CMUUxOVKYY	skynewsarabia
23	701177444	KSA24	موجز الأخبار 🇸🇦	http://1ksanews1.com	-	-		-	1ksanews1.com	1ksanews1.com	1	1	0.6636	Tue Jul 17 14:46:08 +0000 2012	نعطيك العلم أول بأول بحتسينا العادي تسانك تبي حيثما وربما وعندما ماهيب عندي الشايب 1ksanews1@gmail.com للإعلان سمارت ماب0550506191	3757656	2785	4595	25	0	en	4595	Riyadh	SA	Saudi Arabia	General	http://pbs.twimg.com/profile_images/906275220398493697/6YYCBkNm_normal.jpg	120020	Riyadh	https://t.co/YLN0s5uGck	1ksanews1
24	311943740	mbcmax	MBC MAX	http://www.mbc.net/mbcmax	-	-		إم_بي_سي_ماكس	mbc.net	mbc.net/mbcmax	1	1	1	Mon Jun 06 10:01:11 +0000 2011	MBC MAX is MBC Group’s second 24-hour movie channel which caters to a younger audience and delivers a family viewing experience.	3755260	0	1061	0	0	en	1061		SA	Saudi Arabia	Entertainment	http://pbs.twimg.com/profile_images/705029909643661313/sH8E6qhX_normal.jpg	27725	Muscat	http://t.co/34lG3sIBAY	channel/UCaCGWg4Tovoqr4gAI-VFEfA
25	399177856	Ruh_Rd	طرق الرياض	https://www.snapchat.com/add/ruh_rd	-	-		-	-	snapchat.com/add/ruh_rd	1	1	0.6636	Thu Oct 27 03:17:34 +0000 2011	حساب تفاعلي عن #طرق_الرياض قبل المشاركة الاطلاع على https://t.co/8ydF5qd47s مشرف الحساب @A_Sroor للرعايةوالإعلانات RuhRd1@gmail.com	3699880	3208	790	47	0	ar	790	snapchat & instagram: Ruh_Rd	SA	Saudi Arabia	General	http://pbs.twimg.com/profile_images/921604215763554304/2ygE9eEf_normal.jpg	56647	Riyadh	https://t.co/w8naPAUWg3	
26	576241232	beINSPORTS_MENA	beIN SPORTS	http://www.beinsports.com/ar/	beINSPORTS	http://www.beinsports.com/ar/rss.xml	http:/www.beinsports.com/ar//ar/rss.xml	بي_إن_سبورتس	beinsports.com	beinsports.com/ar/	1	1	1	Thu May 10 13:38:53 +0000 2012	الحساب الرسمي لقنوات beIN SPORTS	3615441	4260	3762	200	1	en	3762	الشرق الأوسط وشمال أفريقيا	QA	Qatar	Sports	http://pbs.twimg.com/profile_images/885103388639322113/f4ikd_g8_normal.jpg	73009	Riyadh	http://t.co/6T9usFewkZ	beinsports
27	42196320	Shorouk_News	Shorouk News	http://www.shorouknews.com	shorouknews	-		الشروق_الجديد_(جريدة_مصرية)	shorouknews.com	shorouknews.com	1	1	1	Sun May 24 10:56:31 +0000 2009	الشروق الجديد جريدة يومية مصرية مستقلة تأسست في فبراير 2009	3610689	9	7029	2	0	en	7029	Cairo, Egypt	EG	Egypt	General	http://pbs.twimg.com/profile_images/1092870993/shorouk-logo-3_normal.png	839289	Cairo	http://t.co/2xuahXBzFk	shoroukvideos
	332566057	ittihad	نادي الاتحاد السعودي	http://www.ittihadfc.com	1927ittihad	-		نادي_الاتحاد_(السعودية)	ittihadfc.com	ittihadfc.com	1	1	1	Sun Jul 10 01:44:49 +0000 2011	الحساب الرسمي لنادي الاتحاد العربي السعودي - Official Account of Alittihad Saudi Club | 👻Snapchat: snap.ittihad | 📷Instagram: ittihadclub.sa	3600673	3	2253	44	1	ar	2253	جدة	SA	Saudi Arabia	Sports	http://pbs.twimg.com/profile_images/932712044545085440/vtwePUqg_normal.jpg	25176	Riyadh	https://t.co/f0j8CcCneA	user/AlittihadClubSA
28	327722701	CBCEgypt	CBC Egypt	http://www.cbc-eg.com	CBCEgypt	-		شبكة_قنوات_سي_بي_سي	cbc-eg.com	cbc-eg.com	1	1	0.6624	Sat Jul 02 01:36:29 +0000 2011	قناة مصرية عامة تهدف إلى إعلام راقي يطرح ويناقش آراء جميع اطياف المجتمع المصري - بلا إنحياز سياسي أو ديني <LF> Nilesat 11488 Horizontal<LF> نايل سات 11488 افقي	3573064	7	4084	18	0	en	4084	Egypt	EG	Egypt	General	http://pbs.twimg.com/profile_images/879055481918152704/zticgrVr_normal.jpg	360603	Cairo	http://t.co/bmigrIrWqh	user/CBCEgypt
29	71516564	RTarabic	RT Arabic	http://arabic.rt.com/	RTArabicKnowledge	https://arabic.rt.com/rss/	http:/arabic.rt.com/rss/	آر_تي_(شبكة_تلفاز)	rt.com	arabic.rt.com	1	1	1	Fri Sep 04 11:52:42 +0000 2009	آخر أخبار العالم العربي. آراء المختصين. تقارير من موقع الحدث. تعليقات المشاهدين. صور للأحداث. كل ذلك على موقع RT Arabic	3412506	11	6121	391	1	en	6121	Moscow	RU	Russia	General	http://pbs.twimg.com/profile_images/850637266594787328/5XLG_O8j_normal.jpg	461880	Volgograd	http://t.co/w9PcUL65x0	RTarabic
30	53059376	ajmubasher	الجزيرة مباشر	http://mubasher.aljazeera.net	ajmubasher	-		الجزيرة_مباشر	aljazeera.net	mubasher.aljazeera.net	1	1	1	Thu Jul 02 13:18:34 +0000 2009	أول قناة تلفزيونية عربية متخصصة في نقل الأحداث المباشرة تحت شعار تلفزيون الواقع الإخباري .. لأحدث وأهم الأخبار تابعونا على حساب الجزيرة مباشر الآن : @ajmurgent	3411945	2166	4229	17	1	en	4229	Qatar	QA	Qatar	General	http://pbs.twimg.com/profile_images/486086685399085057/Q4GRhufl_normal.png	132806	Riyadh	https://t.co/s1QCCp7xPI	aljazeeramubasher
31	458301345	SkyNewsArabia_B	سكاي نيوز عربية-الآن	http://www.skynewsarabia.com	SkyNewsArabia	https://www.skynewsarabia.com/rss.xml	http:/www.skynewsarabia.com/web/rss.xml	سكاي_نيوز_عربية	skynewsarabia.com	skynewsarabia.com	1	1	1	Sun Jan 08 12:02:58 +0000 2012	ترددات القناة<LF>http://t.co/DY77ZO3E	3409326	2	4734	34	1	en	4734	Abu Dhabi, UAE	AE	United Arab Emirates	General	http://pbs.twimg.com/profile_images/876795629154029568/h_mcwmPL_normal.jpg	105236	Abu Dhabi	http://t.co/BoUx26sThV	skynewsarabia
	397036704	MnbrAlhilal	منبر الهلال	http://v.ht/Snap-Mnbr	MnbrAlhillal	-		-	v.ht	v.ht/Snap-Mnbr	0	1	1	Mon Oct 24 04:27:34 +0000 2011	أكبر شبكة مختصة بأخبار نادي الهلال. (Fan page, unofficial account) snapchat: snap-mnbr للتواصل: Mnbralhilal@outlook.com	3371124	1558	2280	557	1	en	2280	WhatsApp:0533902509	SA	Saudi Arabia	Sports	http://pbs.twimg.com/profile_images/748260592981524480/6GrTFxnv_normal.jpg	87367	Baghdad	https://t.co/khwbE39YtR	channel/UCqMrSsgkZBaQ-YwHmeseHAQ
32	317337788	KSASociety	مجتمعنا	http://Instagram.com/KSASOCIETY	-	-	/web/rss/home.xml	-	-	Instagram.com/KSASOCIETY	0	1	1	Tue Jun 14 19:50:22 +0000 2011	حساب #مجتمعنا ، نافذتكم على تويتر ، نرصد ونحلل كل ما يدور فيه .  | للتواصل: Ads2017MHD@gmail.com	3350254	10841	2993	68	1	en	2993	المملكة العربية السعودية	SA	Saudi Arabia	General	http://pbs.twimg.com/profile_images/719225000625094656/vwMbh7iv_normal.jpg	59779	Riyadh	https://t.co/EjBBJs8QWw	
33	311938177	mbc4	mbc4	http://www.mbc.net/mbc4	-	-		إم_بي_سي_4	mbc.net	mbc.net/mbc4	1	1	1	Mon Jun 06 09:45:31 +0000 2011	MBC4 is the Arab world’s first exclusive tailored channel for Women and young Arab Families. It broadcasts the latest in top-rated Western content entertainment	3345428	0	1139	0	1	en	1139		SA	Saudi Arabia	Entertainment	http://pbs.twimg.com/profile_images/2325159358/zqf01j3bx2atmuygsiuk_normal.jpeg	42041	Muscat	http://t.co/V1kkuL1YDt	channel/UCLnQlfpGY1OSJ8HUlYRnvqw
34	332164742	ShahidVOD	SHAHID	http://www.shahid.net	-	-		-	shahid.net	shahid.net	1	1	0.6656	Sat Jul 09 09:53:05 +0000 2011	SHAHID هى خدمة الفيديو حسب الطلب الأولى في العالم العربي، حمل تطبيقك المفضل الأن https://t.co/cA2IKWdPry	3337575	185	1309	0	0	en	1309		SA	Saudi Arabia	Entertainment	http://pbs.twimg.com/profile_images/942758855649488896/kn0nt1Tt_normal.jpg	39581	Muscat	http://t.co/8dJlixHQfW	user/ShahidVOD
35	166566887	ONENT	ON E	http://www.ONtveg.com	OnEntertainment.eg	-		أون_إي	ontveg.com	ONtveg.com	1	1	0.6656	Wed Jul 14 13:42:21 +0000 2010	#ON_E بتقنية HD تمنحك تجربة ممتعة ومجموعة مميزة من الأفلام والبرامج والمسلسلات الجديدة عبر تردد 10853 أفقي نايل سات معامل الترميز 27500 معامل تصحيح الخطأ 6/5	3195755	97	4907	6	0	en	4907	Egypt	EG	Egypt	General	http://pbs.twimg.com/profile_images/945252113457827840/YAOWt8BQ_normal.jpg	323453	Cairo	https://t.co/PwcpccswzF	user/Ontveg
36	325833975	TahrirNews	التحرير الإخباري	http://www.tahrirnews.com	Tahrir.News.Official	https://www.tahrirnews.com/Rss		التحرير_(جريدة_مصرية)	tahrirnews.com	tahrirnews.com	1	1	1	Tue Jun 28 23:16:32 +0000 2011	الحساب الرسمي لجريدة التحرير على تويتر	3149640	8	4963	5	0	en	4963		EG	Egypt	General	http://pbs.twimg.com/profile_images/853540723148435456/by73n8YB_normal.jpg	436396	Cairo	http://t.co/nH4p89j9dq	channel/UC0OvQC3KvX1HnvbB1KV9XpA
37	404063624	ActionYaDawry	أكشن يادوري	http://www.mbc.net/dawry	-	-		-	mbc.net	mbc.net/dawry	1	1	0.663	Thu Nov 03 11:47:17 +0000 2011	( #اكشن_يا_دوري ) مع وليد الفراج يأتيكم  يومياً  عند الساعة ١١ مساء بتوقيت مكة المكرمة على شاشة mbc action	3103350	33	4917	24	1	en	4917		SA	Saudi Arabia	Entertainment	http://pbs.twimg.com/profile_images/378800000338335612/7919a931aaaa90db7751fdfe132300ef_normal.jpeg	99377	Quito	http://t.co/pwAKJMUMKo	channel/UCz2X6dJpNjvpguA4MkYHdug
38	169108336	aawsat_News	صحيفة الشرق الأوسط	http://aawsat.com	asharqalawsat.a?ref=ts&fref=ts	-		الشرق_الأوسط_(جريدة)	aawsat.com	aawsat.com	1	1	1	Wed Jul 21 15:26:41 +0000 2010	الحساب الرئيسي لجريدة العرب الدولية الشرق الأوسط من #لندن @aawsat_news	2977211	1	4250	7	0	en-gb	4250	London	UK	United Kingdom	General	http://pbs.twimg.com/profile_images/927537362313318400/m1ca_x8F_normal.jpg	246033	London	https://t.co/lrsGnTGy5p	user/aawsatv
39	36636494	AlMasryAlYoum	المصري اليوم	http://almasryalyoum.com	almasryalyoum	http://www.almasryalyoum.com/rss	http:/almasryalyoum.com/rss	المصري_اليوم	almasryalyoum.com	almasryalyoum.com	1	1	1	Thu Apr 30 10:48:51 +0000 2009	المصري اليوم، الصحيفة اليومية الأولى في مصر	2919420	73	9001	54	1	en	9001	Cairo, Egypt	EG	Egypt	General	http://pbs.twimg.com/profile_images/937651947947069440/A9oCTWDH_normal.jpg	797759	Cairo	http://t.co/x3xXBIwzPS	user/AlMasryAlYoum
40	67277253	aleqtisadiah	صحيفة الاقتصادية	http://www.aleqt.com	aleqtisadiah	http://www.aleqt.com/page/view/rss	http:/www.aleqt.com/page/view/rss	جريدة_الاقتصادية	aleqt.com	aleqt.com	1	1	1	Thu Aug 20 09:59:25 +0000 2009	صحيفة الاقتصادية - جريدة العرب الاقتصادية الدوليّة  aleqte@aleqt.com	2888419	70	2514	7	0	ar	2514	الرياض	SA	Saudi Arabia	Economy	http://pbs.twimg.com/profile_images/937363052013522944/KxEFK6NW_normal.jpg	278795	Riyadh	http://t.co/9h5xOUOEix	user/eqttv
41	1264208004	AlAhly	Al Ahly SC	http://www.alahlyegypt.com	Officialahlysc	-		النادي_الأهلي_(مصر)	alahlyegypt.com	alahlyegypt.com	1	1	1	Wed Mar 13 11:24:33 +0000 2013	The Official Account of Al Ahly SC - African Club of the 20th Century & Champions of 20 continental titles<LF> - الحساب الرسمي للنادي الأهلي. @AlAhlyEnglish	2887392	630	1221	55	1	en	1221	Cairo, Egypt	EG	Egypt	Sports	http://pbs.twimg.com/profile_images/959015792972124161/hJ-hBI38_normal.jpg	19865	Cairo	https://t.co/a9rAEEkj36	alahly
